age,experience,identifier,type,timeTaken
57,beginner,ciaoATutti,camelCase,17207
57,beginner,apple-care,kebabCase,13241
57,beginner,user-login-details,kebabCase,10023
57,beginner,noPainNoGain,camelCase,10081
57,beginner,userLoginDetails,camelCase,11347
57,beginner,appleCare,camelCase,6187
57,beginner,ciao-a-tutti,kebabCase,5271
57,beginner,calculateTotal,camelCase,6233
57,beginner,asSoonAsPossible,camelCase,8021
57,beginner,sendMessage,camelCase,7492
57,beginner,refresh-page,kebabCase,5815
57,beginner,no-pain-no-gain,kebabCase,10305
57,beginner,send-message,kebabCase,4943
57,beginner,refreshPage,kebabCase,3869
57,beginner,startProcess,camelCase,5102
57,beginner,calculate-total,kebabCase,4734
57,beginner,start-process,kebabCase,5024
57,beginner,as-soon-as-possible,kebabCase,4484
57,beginner,moveSouth,camelCase,4850
57,beginner,move-south,kebabCase,5861
