age,experience,identifier,type,timeTaken
59,intermediate,refresh-page,kebabCase,3496
59,intermediate,calculateTotal,camelCase,2870
59,intermediate,startProcess,camelCase,2113
59,intermediate,start-process,kebabCase,3879
59,intermediate,refreshPage,camelCase,2778
59,intermediate,no-pain-no-gain,kebabCase,3560
59,intermediate,noPainNoGain,camelCase,7131
59,intermediate,asSoonAsPossible,camelCase,4420
59,intermediate,as-soon-as-possible,kebabCase,5568
59,intermediate,moveSouth,camelCase,5822
59,intermediate,calculate-total,kebabCase,2737
59,intermediate,user-login-details,kebabCase,3034
59,intermediate,sendMessage,camelCase,3645
59,intermediate,move-south,kebabCase,3553
59,intermediate,send-message,kebabCase,2626
59,intermediate,userLoginDetails,camelCase,4555
59,intermediate,ciao-a-tutti,kebabCase,8890
59,intermediate,apple-care,kebabCase,2787
59,intermediate,ciaoATutti,camelCase,3360
59,intermediate,appleCare,camelCase,8264
